Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tauros Paldean Form; Blaze Breed,LV7,13,5,4,520
Tauros Paldean Form; Blaze Breed,LV7,13,6,3,520
Tauros Paldean Form; Blaze Breed,LV7,13,7,2,520
Tauros Paldean Form; Blaze Breed,LV7,13,8,1,520
Tauros Paldean Form; Blaze Breed,LV7,14,0,7,520
Tauros Paldean Form; Blaze Breed,LV7,14,1,6,520
Tauros Paldean Form; Blaze Breed,LV7,14,2,5,520
Tauros Paldean Form; Blaze Breed,LV7,14,3,4,520
Tauros Paldean Form; Blaze Breed,LV7,14,4,3,520
Tauros Paldean Form; Blaze Breed,LV7,15,4,2,520
Tauros Paldean Form; Blaze Breed,LV7,15,5,1,520
Tauros Paldean Form; Blaze Breed,LV7,15,6,0,520
